round,timestamp,loss,accuracy,round_duration,num_clients,num_failures
1,2025-03-06T17:40:30.626966,12.86910562133789,13.4,5.09106,5,0
2,2025-03-06T17:41:45.866626,14.515698356628418,21.4,5.20427,7,0
3,2025-03-06T17:42:56.140257,14.457659713745118,21.4,5.252327,7,0
4,2025-03-06T17:44:07.138003,14.022081489562987,24.3,5.144466,7,0
5,2025-03-06T17:45:20.472217,14.354263854980468,24.8,5.176016,7,0
6,2025-03-06T17:46:33.697145,14.247738906860352,25.7,5.292035,7,0
7,2025-03-06T17:47:45.346931,14.326445816040039,24.9,5.211107,7,0
8,2025-03-06T17:48:58.491619,14.695222648620605,26,5.097929,7,0
9,2025-03-06T17:50:11.819157,14.50620704650879,25.2,5.10532,7,0
10,2025-03-06T17:51:22.612293,15.115277503967285,23.9,5.232008,7,0
11,2025-03-06T17:52:34.838627,15.323219848632812,25.9,5.274143,7,0
12,2025-03-06T17:53:46.634745,15.61755297088623,24.3,5.196214,7,0
13,2025-03-06T17:54:58.420517,15.020790512084961,27.2,5.158276,7,0
14,2025-03-06T17:56:11.556833,16.035033836364747,23.6,5.204148,7,0
15,2025-03-06T17:57:26.516039,15.261282958984374,26.4,5.133849,7,0
16,2025-03-06T17:58:38.210613,15.398485855102539,26.9,5.138138,7,0
17,2025-03-06T17:59:48.779741,15.801781845092773,25.8,5.109729,7,0
18,2025-03-06T18:01:04.541567,16.022980491638183,26.5,5.05716,7,0
19,2025-03-06T18:02:14.621949,16.570998825073243,25.6,5.545748,7,0
20,2025-03-06T18:03:25.821051,16.544810302734376,25.5,5.214223,7,0
21,2025-03-06T18:04:39.912741,16.458321395874023,24,5.181542,7,0
22,2025-03-06T18:05:51.319811,16.34412305,26.2,5.23521,7,0
23,2025-03-06T18:07:06.134006,16.381723419189452,25.8,5.277623,7,0
24,2025-03-06T18:08:20.073939,16.098711196899416,27.9,5.229672,7,0
25,2025-03-06T18:09:31.935814,17.034905715942383,24.7,5.238807,7,0
26,2025-03-06T18:10:46.807585,17.120250946044923,25.6,5.095814,7,0
27,2025-03-06T18:12:00.542604,17.154131134033204,26.2,5.214048,7,0
28,2025-03-06T18:13:10.808306,17.078186813354492,24.1,5.077668,7,0
29,2025-03-06T18:14:25.004923,17.172769302368163,24.6,5.362026,7,0
30,2025-03-06T18:15:36.025460,16.294109771728515,28.9,4.784331,7,0
31,2025-03-06T18:16:47.734590,16.607340408325197,27.2,4.856223,7,0
32,2025-03-06T18:17:58.192400,18.13461378479004,24.2,4.72227,7,0
33,2025-03-06T18:19:11.144965,17.14527539,26.1,4.700773,7,0
34,2025-03-06T18:20:20.583653,17.276625991821287,23.7,4.759969,7,0
35,2025-03-06T18:21:31.220905,17.061231048583984,25.3,4.684744,7,0
36,2025-03-06T18:22:45.513443,16.652677139282225,26.3,4.86436,7,0
37,2025-03-06T18:23:56.310036,16.75977212524414,27.8,4.734017,7,0
38,2025-03-06T18:25:10.241904,17.443024932861327,25,4.791615,7,0
39,2025-03-06T18:26:21.206641,15.932562942504882,28.9,4.738211,7,0
40,2025-03-06T18:27:32.499448,16.30658445739746,27.6,4.701243,7,0
