round,timestamp,loss,accuracy,round_duration,num_clients,num_failures
1,2025-03-06T16:24:32.070602,1.543051605,24.08702667,0.54946,6,0
2,2025-03-06T16:24:34.053610,1.557239647,26.59651144,0.521388,6,0
3,2025-03-06T16:24:36.042000,1.518625898,26.5656874,0.51607,6,0
4,2025-03-06T16:24:37.946659,1.617638499,26.7860738,0.524705,6,0
5,2025-03-06T16:24:39.709148,1.631328768,22.00468991,0.479308,6,0
6,2025-03-06T16:24:41.601453,1.679478062,24.89606715,0.526746,6,0
7,2025-03-06T16:24:43.479014,1.74088268,28.19122032,0.520405,6,0
8,2025-03-06T16:24:45.340272,1.582488741,28.19521289,0.477178,6,0
9,2025-03-06T16:24:47.316139,1.611996466,28.13030445,0.563569,6,0
10,2025-03-06T16:24:49.160592,1.615914385,37.64434231,0.519716,6,0
11,2025-03-06T16:24:51.036940,1.507304605,29.13914587,0.516811,6,0
12,2025-03-06T16:24:52.870268,1.495054954,32.08281308,0.496521,6,0
13,2025-03-06T16:24:54.643357,1.522416423,30.90952073,0.48493,6,0
14,2025-03-06T16:24:56.502616,1.569929821,30.45364276,0.525078,6,0
15,2025-03-06T16:24:58.314845,1.571413161,28.99778192,0.478823,6,0
16,2025-03-06T16:25:00.254036,1.533774245,31.23672889,0.570504,6,0
17,2025-03-06T16:25:02.648096,1.45423909,29.6153703,0.560093,6,0
18,2025-03-06T16:25:04.502593,1.460702858,30.48729054,0.545985,6,0
19,2025-03-06T16:25:06.578984,1.550437334,29.51994238,0.560049,6,0
20,2025-03-06T16:25:08.526959,1.48564366,33.25796751,0.566777,6,0
21,2025-03-06T16:25:10.298652,1.443044007,36.8592531,0.472775,6,0
22,2025-03-06T16:25:12.112994,1.441113411,28.61610746,0.50522,6,0
23,2025-03-06T16:25:13.990159,1.516198554,35.91249842,0.582393,6,0
24,2025-03-06T16:25:15.977887,1.416747294,30.22290066,0.567848,6,0
25,2025-03-06T16:25:17.812838,1.463899819,31.50664084,0.511757,6,0
26,2025-03-06T16:25:19.709976,1.579110053,38.20528738,0.527277,6,0
27,2025-03-06T16:25:21.593754,1.381651457,35.1850919,0.533186,6,0
28,2025-03-06T16:25:23.465701,1.394325512,32.09027565,0.579572,6,0
29,2025-03-06T16:25:25.444845,1.461158048,32.60612158,0.60054,6,0
30,2025-03-06T16:25:27.412629,1.359998445,38.39168537,0.623239,6,0
31,2025-03-06T16:25:29.339464,1.27015046,35.00856342,0.653423,6,0
32,2025-03-06T16:25:31.210578,1.318345083,37.20026994,0.573508,6,0
33,2025-03-06T16:25:33.123183,1.358727343,38.5616097,0.582361,6,0
34,2025-03-06T16:25:34.958098,1.402990313,37.0044618,0.577444,6,0
35,2025-03-06T16:25:36.967624,1.342753466,41.03571433,0.618557,6,0
36,2025-03-06T16:25:38.929664,1.378553721,38.8491425,0.633182,6,0
37,2025-03-06T16:25:40.894586,1.259061107,33.28591037,0.63559,6,0
38,2025-03-06T16:25:42.742121,1.255537545,40.3715967,0.51947,6,0
39,2025-03-06T16:25:44.515772,1.342607415,36.17410199,0.548786,6,0
40,2025-03-06T16:25:46.327395,1.274606298,41.96662107,0.51491,6,0
41,2025-03-06T16:25:48.162436,1.306908666,39.46577742,0.535195,6,0
42,2025-03-06T16:25:49.947218,1.353487306,41.86773799,0.530463,6,0
43,2025-03-06T16:25:51.883831,1.272551169,41.44596291,0.512292,6,0
44,2025-03-06T16:25:53.696151,1.276369162,44.69585531,0.5152,6,0
45,2025-03-06T16:25:55.505309,1.293501741,37.63460718,0.523037,6,0
46,2025-03-06T16:25:57.451364,1.344541105,42.90063043,0.541111,6,0
47,2025-03-06T16:25:59.408407,1.196375909,40.00714497,0.566511,6,0
48,2025-03-06T16:26:01.411209,1.212016267,41.13577419,0.531044,6,0
49,2025-03-06T16:26:04.053164,1.318691898,48.68973072,0.535376,6,0
50,2025-03-06T16:26:05.918799,1.311130556,43.12640715,0.512538,6,0
51,2025-03-06T16:26:07.778615,1.200972418,40.30445063,0.553101,6,0
52,2025-03-06T16:26:09.698133,1.294460082,47.65542212,0.541016,6,0
53,2025-03-06T16:26:11.637073,1.186644452,50.76163747,0.579637,6,0
54,2025-03-06T16:26:13.487832,1.191389875,48.34429443,0.548838,6,0
55,2025-03-06T16:26:15.355121,1.210946787,43.28084047,0.530427,6,0
56,2025-03-06T16:26:17.135167,1.218674975,45.32752047,0.502306,6,0
57,2025-03-06T16:26:19.044092,1.270294168,48.16140946,0.536734,6,0
58,2025-03-06T16:26:21.029825,1.180303266,44.74192152,0.595622,6,0
59,2025-03-06T16:26:23.010373,1.133126535,46.83608703,0.592011,6,0
60,2025-03-06T16:26:24.920254,1.162618672,51.52619654,0.603317,6,0
61,2025-03-06T16:26:26.902092,1.065317631,46.54569577,0.588436,6,0
62,2025-03-06T16:26:28.803065,1.140112482,47.98848051,0.573455,6,0
63,2025-03-06T16:26:30.630214,1.148670054,41.71013315,0.552794,6,0
64,2025-03-06T16:26:32.531944,1.058090908,49.25512475,0.584164,6,0
65,2025-03-06T16:26:34.422087,1.126592357,47.53730158,0.559735,6,0
66,2025-03-06T16:26:36.232262,1.152310046,47.86407961,0.477699,6,0
67,2025-03-06T16:26:38.174512,1.110504585,54.22321639,0.521253,6,0
68,2025-03-06T16:26:39.902005,1.16929942,48.3870386,0.469119,6,0
69,2025-03-06T16:26:41.812653,1.126495132,48.00164012,0.531828,6,0
70,2025-03-06T16:26:43.593628,1.050158475,54.02593449,0.483379,6,0
71,2025-03-06T16:26:45.451963,1.05647306,57.76347479,0.522725,6,0
72,2025-03-06T16:26:47.368584,1.000748678,49.76312891,0.533881,6,0
73,2025-03-06T16:26:49.186581,1.02754429,56.65153179,0.515201,6,0
74,2025-03-06T16:26:51.026850,1.022075978,55.67961059,0.539273,6,0
75,2025-03-06T16:26:52.848922,1.025519068,52.71087539,0.534249,6,0
76,2025-03-06T16:26:54.718591,1.053816964,53.29806541,0.584191,6,0
77,2025-03-06T16:26:56.530573,0.999937452,55.45780668,0.539872,6,0
78,2025-03-06T16:26:58.414668,1.045560786,54.25236415,0.555077,6,0
79,2025-03-06T16:27:00.258386,0.967223297,55.13208342,0.577263,6,0
80,2025-03-06T16:27:02.282514,1.127513408,56.25162578,0.609315,6,0
81,2025-03-06T16:27:04.252228,0.999726372,58.90172858,0.567659,6,0
82,2025-03-06T16:27:06.194190,0.942549549,60.5273973,0.554061,6,0
83,2025-03-06T16:27:07.955992,0.938494073,60.1918681,0.500641,6,0
84,2025-03-06T16:27:09.810220,1.019393724,52.56211507,0.545948,6,0
85,2025-03-06T16:27:11.732652,0.916587922,65.5225757,0.522592,6,0
86,2025-03-06T16:27:13.583077,1.025112512,55.73225076,0.520441,6,0
87,2025-03-06T16:27:15.436034,0.989242912,56.07912964,0.516386,6,0
88,2025-03-06T16:27:17.292900,0.904949205,62.83173444,0.544712,6,0
89,2025-03-06T16:27:19.141212,0.935587125,62.23823283,0.528609,6,0
90,2025-03-06T16:27:20.922060,0.90047238,58.54013194,0.512636,6,0
91,2025-03-06T16:27:22.672921,0.864753878,60.28742995,0.527594,6,0
