round,timestamp,loss,accuracy,round_duration,num_clients,num_failures
1,2025-03-06T15:18:00.155177,1.8295756225585937,14.3,0.591416,10,0
2,2025-03-06T15:18:04.358871,1.9577005090713502,18.4,0.553574,10,0
3,2025-03-06T15:18:08.278810,2.457324691772461,17.3,0.554424,10,0
4,2025-03-06T15:18:11.982635,3.2486683616638183,16.3,0.585527,10,0
5,2025-03-06T15:18:15.326894,3.8602621250152587,15.8,0.549675,10,0
1,2025-03-06T15:23:17.641563,1.890093999862671,16.1,0.521331,6,0
2,2025-03-06T15:23:19.867296,2.425735544204712,18.5,0.54559,6,0
3,2025-03-06T15:23:22.153037,3.4368293647766115,18.7,0.566188,6,0
4,2025-03-06T15:23:24.352172,4.135471803665161,12.6,0.53566,6,0
5,2025-03-06T15:23:26.498534,4.327407159805298,18.4,0.495978,6,0
6,2025-03-06T15:23:28.687786,4.629373023986816,18.0,0.545099,6,0
7,2025-03-06T15:23:30.780110,4.796368118286133,18.1,0.534779,6,0
8,2025-03-06T15:23:32.929309,4.957245174407959,13.2,0.548641,6,0
9,2025-03-06T15:23:35.114466,5.303201271057129,17.7,0.577987,6,0
10,2025-03-06T15:23:37.220112,5.182843490600586,14.2,0.559699,6,0
11,2025-03-06T15:23:39.319494,5.41619898223877,16.6,0.533507,6,0
12,2025-03-06T15:23:41.548381,5.4153824691772465,13.3,0.562054,6,0
13,2025-03-06T15:23:43.679529,5.714078956604004,16.6,0.537447,6,0
14,2025-03-06T15:23:45.816148,5.527678777694702,13.8,0.537074,6,0
15,2025-03-06T15:23:48.040529,5.633160926818848,18.4,0.564135,6,0
16,2025-03-06T15:23:50.154357,5.616225555419922,12.8,0.522838,6,0
17,2025-03-06T15:23:52.353016,5.596912685394287,18.7,0.577839,6,0
18,2025-03-06T15:23:54.549839,5.5237968711853025,12.6,0.546181,6,0
19,2025-03-06T15:23:56.728496,5.621410087585449,17.4,0.541932,6,0
20,2025-03-06T15:23:59.015260,5.676627616882325,12.4,0.62857,6,0
21,2025-03-06T15:24:01.324896,5.39827847290039,18.3,0.600442,6,0
22,2025-03-06T15:24:03.725965,5.333431114196777,14.7,0.533629,6,0
23,2025-03-06T15:24:05.970610,5.3754481506347656,17.6,0.594549,6,0
24,2025-03-06T15:24:08.230513,5.450212173461914,13.8,0.582747,6,0
25,2025-03-06T15:24:10.498423,5.554548873901367,18.7,0.64432,6,0
26,2025-03-06T15:24:12.777205,5.742854400634766,12.2,0.655895,6,0
27,2025-03-06T15:24:15.005764,5.809070526123047,16.5,0.665207,6,0
28,2025-03-06T15:24:17.185278,6.019116561889648,12.5,0.578261,6,0
29,2025-03-06T15:24:19.392092,5.76241565322876,17.5,0.615975,6,0
30,2025-03-06T15:24:21.530553,5.899749084472656,13.1,0.585136,6,0
31,2025-03-06T15:24:23.696547,5.552734199523925,17.9,0.55083,6,0
32,2025-03-06T15:24:25.787595,5.543031620025634,13.4,0.558028,6,0
33,2025-03-06T15:24:27.814173,5.645434240341187,17.2,0.504492,6,0
34,2025-03-06T15:24:29.889077,5.103642070770264,13.1,0.552021,6,0
35,2025-03-06T15:24:31.929961,5.159437221527099,17.8,0.494811,6,0
36,2025-03-06T15:24:33.996110,5.157549427032471,12.7,0.528969,6,0
37,2025-03-06T15:24:36.061920,5.281661312103272,17.3,0.536935,6,0
38,2025-03-06T15:24:38.159911,5.248678554534912,13.8,0.523802,6,0
39,2025-03-06T15:24:40.236221,5.418103393554688,17.0,0.536752,6,0
40,2025-03-06T15:24:42.336300,5.421264430999756,13.9,0.521967,6,0
41,2025-03-06T15:24:44.402826,5.535542709350586,18.6,0.549838,6,0
42,2025-03-06T15:24:46.546743,5.6002698974609375,15.0,0.538583,6,0
43,2025-03-06T15:24:48.630019,5.599730716705322,18.9,0.5058,6,0
44,2025-03-06T15:24:50.738363,5.764049144744873,14.9,0.546369,6,0
