round,timestamp,loss,accuracy,round_duration,num_clients,num_failures
1,2025-03-06T15:38:43.753182,1.8060713090896607,17.6,0.56689,6,0
2,2025-03-06T15:38:45.956256,1.921283118247986,18.4,0.5326,6,0
3,2025-03-06T15:38:48.090823,2.375303234100342,17.0,0.526059,6,0
4,2025-03-06T15:38:50.246027,2.7606818237304687,19.8,0.549713,6,0
5,2025-03-06T15:38:52.331218,3.392875978469849,19.0,0.522132,6,0
6,2025-03-06T15:38:54.459700,3.7035722274780274,18.3,0.549479,6,0
7,2025-03-06T15:38:56.543377,4.046949045181274,26.1,0.530456,6,0
8,2025-03-06T15:38:58.611175,4.385954887390136,19.8,0.527374,6,0
9,2025-03-06T15:39:00.723145,4.725761367797851,23.5,0.539203,6,0
10,2025-03-06T15:39:02.795977,4.969154136657715,18.3,0.533782,6,0
11,2025-03-06T15:39:04.948166,4.763598213195801,31.7,0.57641,6,0
12,2025-03-06T15:39:07.095059,4.955835124969482,31.6,0.538155,6,0
13,2025-03-06T15:39:09.248938,5.317366973876953,31.6,0.532573,6,0
14,2025-03-06T15:39:11.327442,5.595276233673096,31.5,0.527119,6,0
15,2025-03-06T15:39:13.438276,6.058228424072266,29.6,0.527408,6,0
16,2025-03-06T15:39:15.566111,6.174247802734375,31.6,0.530577,6,0
17,2025-03-06T15:39:17.710119,6.441389430999756,30.2,0.54376,6,0
18,2025-03-06T15:39:19.844753,6.618393253326416,32.3,0.530249,6,0
19,2025-03-06T15:39:21.937097,6.6838992309570315,33.2,0.543414,6,0
20,2025-03-06T15:39:24.004783,7.093917335510254,31.5,0.524364,6,0
21,2025-03-06T15:39:26.125598,7.346117538452148,31.3,0.578054,6,0
22,2025-03-06T15:39:28.226250,7.518953609466553,31.3,0.506223,6,0
23,2025-03-06T15:39:30.325625,7.580156814575195,32.1,0.519437,6,0
24,2025-03-06T15:39:32.497993,7.841164936065674,30.8,0.526905,6,0
25,2025-03-06T15:39:34.715268,8.079541763305665,30.5,0.570176,6,0
26,2025-03-06T15:39:36.808654,8.111076545715331,31.6,0.582732,6,0
27,2025-03-06T15:39:38.972659,8.375651752471924,31.0,0.619532,6,0
28,2025-03-06T15:39:41.103997,8.23987429046631,32.0,0.604475,6,0
29,2025-03-06T15:39:43.124112,8.369915336608887,32.7,0.524713,6,0
30,2025-03-06T15:39:45.290085,8.52596321105957,31.3,0.596798,6,0
31,2025-03-06T15:39:47.397826,8.723174331665039,31.8,0.573104,6,0
32,2025-03-06T15:39:49.479009,8.690321098327637,31.9,0.531876,6,0
33,2025-03-06T15:39:51.579420,8.986861145019532,30.9,0.540215,6,0
34,2025-03-06T15:39:53.634949,8.981287635803223,30.8,0.527548,6,0
35,2025-03-06T15:39:55.725611,8.619104545593261,34.4,0.532749,6,0
36,2025-03-06T15:39:57.799975,9.155413291931152,31.7,0.52559,6,0
37,2025-03-06T15:39:59.839711,9.13513796234131,31.7,0.502473,6,0
38,2025-03-06T15:40:02.120527,9.419283050537109,30.3,0.555649,6,0
39,2025-03-06T15:40:04.312289,9.087104137420654,33.5,0.521883,6,0
40,2025-03-06T15:40:06.391545,9.410889850616455,32.4,0.539462,6,0
41,2025-03-06T15:40:08.452035,9.44070922088623,31.9,0.527065,6,0
42,2025-03-06T15:40:10.571894,9.326747627258301,33.4,0.573159,6,0
43,2025-03-06T15:40:12.663239,9.542902740478516,31.8,0.524895,6,0
44,2025-03-06T15:40:14.756419,9.821376205444336,31.4,0.57733,6,0
45,2025-03-06T15:40:16.848553,9.826515548706055,31.8,0.544899,6,0
46,2025-03-06T15:40:19.024078,9.829303634643555,31.6,0.56642,6,0
47,2025-03-06T15:40:21.158617,9.698206687927247,34.2,0.523505,6,0
48,2025-03-06T15:40:23.296402,9.533366523742675,33.3,0.53837,6,0
49,2025-03-06T15:40:25.430334,9.98387696838379,30.8,0.55513,6,0
50,2025-03-06T15:40:27.484853,9.94531852722168,32.2,0.543936,6,0
51,2025-03-06T15:40:29.598375,9.845310432434083,33.0,0.570714,6,0
52,2025-03-06T15:40:31.647535,10.153900840759277,31.6,0.543911,6,0
53,2025-03-06T15:40:33.723501,9.979293869018555,32.7,0.521336,6,0
54,2025-03-06T15:40:35.822213,10.133376937866212,32.7,0.5482,6,0
55,2025-03-06T15:40:37.909164,10.27020278930664,31.9,0.58432,6,0
56,2025-03-06T15:40:40.072460,10.303508712768554,32.3,0.624668,6,0
57,2025-03-06T15:40:42.174354,10.497272766113282,30.9,0.558716,6,0
58,2025-03-06T15:40:44.242544,10.383079689025879,31.8,0.528823,6,0
59,2025-03-06T15:40:46.341774,10.050264999389649,33.7,0.571077,6,0
60,2025-03-06T15:40:48.401436,10.6390484085083,31.5,0.533951,6,0
61,2025-03-06T15:40:50.479803,10.151163459777832,33.7,0.575135,6,0
62,2025-03-06T15:40:52.520435,10.23936506652832,33.3,0.49575,6,0
63,2025-03-06T15:40:54.564850,10.384015548706055,32.6,0.539486,6,0
64,2025-03-06T15:40:56.578087,10.67589730834961,31.4,0.49893,6,0
65,2025-03-06T15:40:58.709708,10.69184132385254,32.2,0.599266,6,0
66,2025-03-06T15:41:00.799249,10.370226837158203,34.0,0.53316,6,0
67,2025-03-06T15:41:03.005986,10.546117950439454,33.0,0.54039,6,0
68,2025-03-06T15:41:05.072706,10.8883433303833,31.5,0.535341,6,0
69,2025-03-06T15:41:07.228436,10.899639640808106,30.7,0.550578,6,0
70,2025-03-06T15:41:09.351670,11.027940414428711,30.9,0.544938,6,0
71,2025-03-06T15:41:11.418599,10.834974830627441,32.2,0.549996,6,0
72,2025-03-06T15:41:13.512585,10.971612678527832,31.8,0.579377,6,0
73,2025-03-06T15:41:15.624575,11.372231307983398,30.0,0.538651,6,0
74,2025-03-06T15:41:17.718597,11.273980052947998,30.4,0.598283,6,0
75,2025-03-06T15:41:19.764122,11.064252250671387,32.1,0.537948,6,0
