round,timestamp,loss,accuracy,round_duration,num_clients,num_failures
1,2025-03-06T15:53:14.971984,1.8396204452514648,17.2,0.598963,6,0
2,2025-03-06T15:53:17.460792,2.8635070610046385,20,0.560775,6,0
3,2025-03-06T15:53:19.947211,3.3854485054016115,20.5,0.559726,6,0
4,2025-03-06T15:53:22.282134,3.4483951301574707,19.8,0.513502,6,0
5,2025-03-06T15:53:24.696465,3.618067726135254,20.1,0.529075,6,0
6,2025-03-06T15:53:27.055536,3.5837415218353272,21,0.52588,6,0
7,2025-03-06T15:53:29.348105,3.8644008255004882,19.3,0.524148,6,0
8,2025-03-06T15:53:31.665875,3.9131627464294434,20.6,0.531098,6,0
9,2025-03-06T15:53:33.993656,3.906315734863281,18.8,0.506245,6,0
10,2025-03-06T15:53:36.293556,3.9494754219055177,20.4,0.493953,6,0
11,2025-03-06T15:53:38.600094,4.076936874389649,17.2,0.516665,6,0
12,2025-03-06T15:53:40.943174,4.067492179870605,20.5,0.537419,6,0
13,2025-03-06T15:53:43.217221,4.011733329772949,19.1,0.503516,6,0
14,2025-03-06T15:53:45.627321,4.098999229431152,19.7,0.590355,6,0
15,2025-03-06T15:53:48.036998,3.895326217651367,17,0.534118,6,0
16,2025-03-06T15:53:50.396103,4.004831045150757,19.9,0.564089,6,0
17,2025-03-06T15:53:52.760774,4.160885034561157,19.6,0.535266,6,0
18,2025-03-06T15:53:55.069280,4.187286117553711,17.8,0.520953,6,0
19,2025-03-06T15:53:57.406664,4.295520282745361,19.9,0.529201,6,0
20,2025-03-06T15:53:59.730174,4.344382884979248,17,0.498325,6,0
21,2025-03-06T15:54:02.103013,4.342996704101562,19.1,0.530015,6,0
22,2025-03-06T15:54:04.563010,4.282070919036865,18.3,0.532715,6,0
23,2025-03-06T15:54:06.869667,4.296005981445313,21.2,0.525618,6,0
24,2025-03-06T15:54:09.275046,4.440121355056763,17,0.54198,6,0
25,2025-03-06T15:54:11.678756,4.455815317153931,20.2,0.544623,6,0
26,2025-03-06T15:54:14.113491,4.283102027893066,20.7,0.55618,6,0
27,2025-03-06T15:54:16.402359,4.353920558929444,36.9,0.539702,6,0
28,2025-03-06T15:54:18.783943,4.507078552246094,20.5,0.547089,6,0
29,2025-03-06T15:54:21.090608,4.678972131729126,24,0.531068,6,0
30,2025-03-06T15:54:23.363430,4.760621416091919,19.7,0.521524,6,0
31,2025-03-06T15:54:25.654430,4.506771900177002,21,0.538546,6,0
32,2025-03-06T15:54:28.003051,4.704481666564941,17.6,0.537202,6,0
33,2025-03-06T15:54:30.330383,4.550736145019531,16.4,0.54552,6,0
34,2025-03-06T15:54:32.690884,4.366152191,34,0.538319,6,0
