round,timestamp,loss,accuracy,round_duration,num_clients,num_failures
1,2025-03-05T15:43:46.461492,2.9067118770599367,23.09,2.080933,20,0
2,2025-03-05T15:43:50.893594,2.9444691005706787,22.46,2.057001,20,0
3,2025-03-05T15:43:55.316447,4.056251025390625,33.71,2.062366,20,0
4,2025-03-05T15:43:59.923920,1.6109931833267213,53.36,2.063476,20,0
5,2025-03-05T15:44:04.674164,2.413465064239502,37.6,2.098292,20,0
6,2025-03-05T15:44:09.353034,2.1136964679718018,51.98,2.082514,20,0
7,2025-03-05T15:44:13.572569,2.159817721557617,35.07,2.085452,20,0
8,2025-03-05T15:44:17.924873,1.1506541123390197,61.67,2.039433,20,0
9,2025-03-05T15:44:22.396239,1.6836717489242554,42.85,2.095296,20,0
10,2025-03-05T15:44:26.738602,1.1131629930496216,68.4,2.093405,20,0
11,2025-03-05T15:44:31.192071,1.1947027238845824,58.69,2.093189,20,0
12,2025-03-05T15:44:35.828546,1.1303036622047424,67.51,2.101223,20,0
13,2025-03-05T15:44:40.381806,1.47657703666687,64.23,2.070266,20,0
14,2025-03-05T15:44:44.795078,0.809127442741394,66.41,2.066658,20,0
15,2025-03-05T15:44:48.981394,1.1992743716239929,65.7,2.024245,20,0
16,2025-03-05T15:44:53.661388,0.643880535364151,75.86,2.061252,20,0
17,2025-03-05T15:44:58.031054,0.8089027342796326,72.21,2.057041,20,0
18,2025-03-05T15:45:02.613170,0.5019944903850555,82.9,2.046706,20,0
19,2025-03-05T15:45:07.076519,0.5999713727474213,78.33,2.090545,20,0
20,2025-03-05T15:45:11.616217,0.4230101287961006,86.02,2.125879,20,0
21,2025-03-05T15:45:15.913595,0.5057457787513733,81.55,2.069905,20,0
22,2025-03-05T15:45:20.207686,0.374247523355484,87.6,2.077859,20,0
23,2025-03-05T15:45:24.854888,0.42247537972927096,84.97,2.08662,20,0
24,2025-03-05T15:45:30.160439,0.34966076835393906,88.06,2.096482,20,0
25,2025-03-05T15:45:34.753962,0.4183873124837875,85.01,2.090441,20,0
26,2025-03-05T15:45:39.989365,0.3278407639861107,89.25,2.088411,20,0
27,2025-03-05T15:45:44.566977,0.44017980506420135,84.32,2.093558,20,0
28,2025-03-05T15:45:49.019775,0.3139194720983505,89.74,2.074666,20,0
29,2025-03-05T15:45:53.309627,0.40712307548522947,85.29,2.072436,20,0
30,2025-03-05T15:45:57.748443,0.2897851386368275,90.83,2.043105,20,0
31,2025-03-05T15:46:02.313385,0.3870030768632889,86.22,2.085309,20,0
32,2025-03-05T15:46:06.902810,0.2793862682938576,91.12,2.033197,20,0
33,2025-03-05T15:46:11.545837,0.3575502375841141,87.16,2.07948,20,0
34,2025-03-05T15:46:16.359942,0.2476222802877426,92.34,2.075952,20,0
35,2025-03-05T15:46:21.096033,0.3327124738574028,88.21,2.033263,20,0
36,2025-03-05T15:46:25.766644,0.2237851743966341,93.08,2.073609,20,0
37,2025-03-05T15:46:30.262019,0.3027722695231438,89.32,2.093548,20,0
38,2025-03-05T15:46:34.553820,0.20268613539338112,93.84,2.069008,20,0
39,2025-03-05T15:46:38.973281,0.2682227041065693,90.93,2.095557,20,0
40,2025-03-05T15:46:43.896349,0.1995495052307844,93.94,2.071309,20,0
41,2025-03-05T15:46:48.536574,0.2565935867846012,91.27,2.068944,20,0
42,2025-03-05T15:46:52.870730,0.19633866357207297,93.91,2.092849,20,0
43,2025-03-05T15:46:57.565754,0.25974857495427134,91.1,2.071811,20,0
44,2025-03-05T15:47:01.999941,0.18696504833996297,94.33,2.089021,20,0
45,2025-03-05T15:47:06.356882,0.25305377752780917,91.37,2.033059,20,0
46,2025-03-05T15:47:10.531343,0.16437595136463642,95.01,2.021627,20,0
47,2025-03-05T15:47:14.898166,0.24733932739198208,91.75,2.073906,20,0
48,2025-03-05T15:47:19.500905,0.16483537605702878,95.0,2.058488,20,0
49,2025-03-05T15:47:23.783440,0.24010319193899632,91.85,2.072399,20,0
50,2025-03-05T15:47:28.289740,0.1653346257030964,95.09,2.026262,20,0
51,2025-03-05T15:47:32.774237,0.22580518381297587,92.23,2.06615,20,0
52,2025-03-05T15:47:37.225644,0.15259063886851074,95.34,2.066079,20,0
53,2025-03-05T15:47:42.301285,0.21498808397054672,92.74,2.066749,20,0
54,2025-03-05T15:47:47.385003,0.15388932924717666,95.35,2.090382,20,0
55,2025-03-05T15:47:51.834797,0.22253165649622678,92.4,2.065032,20,0
56,2025-03-05T15:47:56.237311,0.14973589835315942,95.35,2.127148,20,0
57,2025-03-05T15:48:00.722679,0.1922062357455492,93.41,2.070374,20,0
58,2025-03-05T15:48:05.345596,0.14010124986469746,95.65,2.076497,20,0
59,2025-03-05T15:48:09.961861,0.20889969255328178,92.78,2.084242,20,0
60,2025-03-05T15:48:14.285838,0.1401348609663546,95.69,2.039735,20,0
61,2025-03-05T15:48:18.736981,0.2112547194942832,92.62,2.093098,20,0
62,2025-03-05T15:48:23.789598,0.1463427861146629,95.52,2.073336,20,0
63,2025-03-05T15:48:28.459261,0.21656326034069062,92.41,2.085317,20,0
64,2025-03-05T15:48:33.115561,0.13437767816409468,95.85,2.062705,20,0
65,2025-03-05T15:48:38.203450,0.19537541293799876,93.32,2.060509,20,0
66,2025-03-05T15:48:42.782462,0.13103048983365298,95.87,2.03871,20,0
67,2025-03-05T15:48:47.316285,0.17389512311518193,94.1,2.072478,20,0
68,2025-03-05T15:48:51.742289,0.11609110455363988,96.45,2.040527,20,0
69,2025-03-05T15:48:56.180377,0.15804033548235893,94.63,2.093378,20,0
70,2025-03-05T15:49:00.658579,0.1083127265445888,96.69,2.075235,20,0
71,2025-03-05T15:49:05.236998,0.14608661538511514,95.0,2.071608,20,0
72,2025-03-05T15:49:09.887013,0.10487533043511212,96.82,2.099202,20,0
73,2025-03-05T15:49:14.319452,0.1479168632492423,94.97,2.078017,20,0
74,2025-03-05T15:49:18.959557,0.1056680407050997,96.71,2.076966,20,0
75,2025-03-05T15:49:23.534725,0.1348531200516969,95.6,2.090041,20,0
76,2025-03-05T15:49:28.108037,0.10362587440945208,96.81,2.081851,20,0
77,2025-03-05T15:49:32.543761,0.13797948246449232,95.35,2.042745,20,0
78,2025-03-05T15:49:37.347360,0.09955788532197475,96.8,2.075081,20,0
79,2025-03-05T15:49:41.533033,0.14822346135303377,95.03,2.028618,20,0
80,2025-03-05T15:49:46.643987,0.09883359483890236,96.84,2.084273,20,0
81,2025-03-05T15:49:50.875150,0.12714503512792288,95.68,2.06879,20,0
82,2025-03-05T15:49:55.459638,0.09543628717288374,97.02,2.074202,20,0
83,2025-03-05T15:49:59.804239,0.11906400418020785,96.08,2.082433,20,0
84,2025-03-05T15:50:04.692591,0.09424929639287292,97.08,2.114273,20,0
85,2025-03-05T15:50:09.080334,0.1078600673187524,96.6,2.077624,20,0
86,2025-03-05T15:50:13.586483,0.08901104876417666,97.13,2.0374,20,0
87,2025-03-05T15:50:18.155319,0.10051935107875615,96.73,2.085394,20,0
88,2025-03-05T15:50:22.536234,0.09244777274504304,97.08,2.059827,20,0
89,2025-03-05T15:50:27.103368,0.09615029519572854,96.94,2.068192,20,0
90,2025-03-05T15:50:31.747392,0.09195733251459896,97.09,2.110477,20,0
91,2025-03-05T15:50:36.167603,0.09279934299252927,97.1,2.089481,20,0
92,2025-03-05T15:50:40.726003,0.10178221228420735,96.63,2.104432,20,0
93,2025-03-05T15:50:45.358629,0.09224733251500875,97.13,2.092703,20,0
94,2025-03-05T15:50:49.888406,0.09495922984946518,96.99,2.071787,20,0
95,2025-03-05T15:50:54.416895,0.09412752902973444,97.04,2.084913,20,0
96,2025-03-05T15:50:58.575715,0.10268388096019626,96.66,2.074546,20,0
97,2025-03-05T15:51:03.167238,0.10043847815208137,96.91,2.094614,20,0
98,2025-03-05T15:51:07.699345,0.11582609901595861,96.2,2.089873,20,0
99,2025-03-05T15:51:12.359311,0.10071825997941196,96.82,2.043318,20,0
100,2025-03-05T15:51:16.826510,0.11363350460510702,96.29,2.10831,20,0
