round,timestamp,loss,accuracy,round_duration,num_clients,num_failures
1,2025-03-05T14:49:09.353247,8.687942943,11.9,2.09156,10,0
2,2025-03-05T14:49:13.681947,5.395862245,24.48,2.054813,10,0
3,2025-03-05T14:49:17.951911,7.333366972,23.1,2.099681,10,0
4,2025-03-05T14:49:22.238138,6.015802444,26.14,2.055419,10,0
5,2025-03-05T14:49:26.060020,6.927640498,27.15,2.072114,10,0
6,2025-03-05T14:49:30.194997,7.274479589,27.06,2.060181,10,0
7,2025-03-05T14:49:34.483522,6.855526847,27.58,2.057496,10,0
8,2025-03-05T14:49:38.400555,6.825104283,27.44,2.056839,10,0
9,2025-03-05T14:49:42.331847,6.819633226,27.07,2.078356,10,0
10,2025-03-05T14:49:46.432142,6.209701353,27.85,2.096808,10,0
11,2025-03-05T14:49:50.762077,6.563381131,27.9,2.091007,10,0
12,2025-03-05T14:49:55.249990,6.731734238,27.77,2.065362,10,0
13,2025-03-05T14:49:59.427651,6.778953522,28.02,2.057415,10,0
14,2025-03-05T14:50:03.826261,6.931693103,28.05,2.0718,10,0
15,2025-03-05T14:50:08.202987,6.950928772,27.98,2.096845,10,0
16,2025-03-05T14:50:12.393360,6.971817516,28.19,2.075822,10,0
17,2025-03-05T14:50:16.627298,6.947831455,28.09,2.069022,10,0
18,2025-03-05T14:50:21.011039,6.83196355,28.24,2.100692,10,0
19,2025-03-05T14:50:25.328523,6.816570242,28.34,2.057861,10,0
20,2025-03-05T14:50:29.510678,6.970914093,28.35,2.066796,10,0
21,2025-03-05T14:50:33.705705,6.852371483,28.34,2.050402,10,0
22,2025-03-05T14:50:37.981352,6.892759006,28.39,2.027598,10,0
23,2025-03-05T14:50:42.167657,6.875444748,28.33,2.020786,10,0
24,2025-03-05T14:50:46.417802,6.86945274,28.43,2.080209,10,0
25,2025-03-05T14:50:50.530212,6.974033839,28.37,2.061581,10,0
26,2025-03-05T14:50:54.988584,7.013181371,28.48,2.0837,10,0
27,2025-03-05T14:50:59.380143,7.108550941,28.5,2.019827,10,0
28,2025-03-05T14:51:04.182448,7.165048475,28.4,2.07281,10,0
29,2025-03-05T14:51:08.673635,7.05706411,28.47,2.072663,10,0
30,2025-03-05T14:51:12.952974,7.111825905,28.48,2.08045,10,0
31,2025-03-05T14:51:17.322584,7.138778545,28.58,2.059509,10,0
32,2025-03-05T14:51:21.719853,7.269568954,28.57,2.088613,10,0
33,2025-03-05T14:51:25.933040,7.256679118,28.58,2.066659,10,0
34,2025-03-05T14:51:30.331257,7.325429887,28.49,2.018594,10,0
35,2025-03-05T14:51:34.876526,7.250138609,28.6,2.073659,10,0
36,2025-03-05T14:51:39.065162,7.284398827,28.6,2.029831,10,0
37,2025-03-05T14:51:43.299421,7.385019163,28.55,2.093074,10,0
38,2025-03-05T14:51:47.610125,7.364380712,28.64,2.073535,10,0
39,2025-03-05T14:51:51.885620,7.41637826,28.58,2.036192,10,0
40,2025-03-05T14:51:56.148976,7.38235164,28.63,2.074023,10,0
41,2025-03-05T14:52:00.376389,7.459499065,28.66,2.101868,10,0
42,2025-03-05T14:52:05.203865,7.515090037,28.65,2.067246,10,0
43,2025-03-05T14:52:09.732976,7.647405726,28.58,2.103082,10,0
44,2025-03-05T14:52:13.957082,7.6024589,28.64,2.092271,10,0
45,2025-03-05T14:52:18.275945,7.611443118,28.64,2.071649,10,0
46,2025-03-05T14:52:22.479270,7.708269719,28.64,2.05596,10,0
47,2025-03-05T14:52:26.553789,7.747002592,28.65,2.092471,10,0
48,2025-03-05T14:52:30.807703,7.731390936,28.6,2.021265,10,0
49,2025-03-05T14:52:35.100422,7.757649436,28.65,2.073295,10,0
50,2025-03-05T14:52:39.784994,7.749747141,28.66,2.037617,10,0
51,2025-03-05T14:52:43.824967,7.781519589,28.67,2.086949,10,0
52,2025-03-05T14:52:48.094794,7.842135981,28.68,2.016941,10,0
53,2025-03-05T14:52:52.214013,7.913336703,28.67,2.027179,10,0
54,2025-03-05T14:52:56.431002,7.92879395,28.64,2.027184,10,0
55,2025-03-05T14:53:00.646682,7.918307106,28.69,2.077107,10,0
56,2025-03-05T14:53:05.094790,7.963709112,28.66,2.015657,10,0
57,2025-03-05T14:53:09.578809,8.012059521,28.67,2.077119,10,0
58,2025-03-05T14:53:13.988512,8.003358525,28.68,2.066251,10,0
59,2025-03-05T14:53:18.021225,8.070232773,28.67,2.055792,10,0
60,2025-03-05T14:53:22.050006,8.149966499,28.68,2.063638,10,0
61,2025-03-05T14:53:26.180323,8.134948143,28.69,2.059256,10,0
62,2025-03-05T14:53:30.524974,8.222663695,28.69,2.073336,10,0
63,2025-03-05T14:53:34.862199,8.248203284,28.69,2.057007,10,0
64,2025-03-05T14:53:39.008809,8.397323375,28.57,2.036627,10,0
65,2025-03-05T14:53:43.160084,8.282582291,28.65,2.072025,10,0
66,2025-03-05T14:53:47.609937,8.366764064,28.58,2.060398,10,0
67,2025-03-05T14:53:51.837790,8.318172057,28.66,2.060568,10,0
68,2025-03-05T14:53:56.183885,8.303388222,28.69,2.021962,10,0
69,2025-03-05T14:54:00.124294,8.332882402,28.69,2.056985,10,0
70,2025-03-05T14:54:04.887549,8.377345389,28.7,2.080244,10,0
71,2025-03-05T14:54:09.242682,8.421185323,28.69,2.069516,10,0
72,2025-03-05T14:54:13.524068,8.467104327,28.67,2.060456,10,0
73,2025-03-05T14:54:17.823988,8.536716176,28.71,2.042438,10,0
74,2025-03-05T14:54:21.919850,8.534484427,28.73,2.058463,10,0
75,2025-03-05T14:54:25.842462,8.538789748,28.71,2.060147,10,0
76,2025-03-05T14:54:30.316269,8.533765692,28.71,2.095292,10,0
77,2025-03-05T14:54:34.515007,8.524800204,28.71,2.078276,10,0
78,2025-03-05T14:54:38.372235,8.605024829,28.7,2.085412,10,0
79,2025-03-05T14:54:42.501858,8.637413152,28.71,2.075886,10,0
80,2025-03-05T14:54:46.793688,8.681074387,28.72,2.072945,10,0
81,2025-03-05T14:54:50.762291,8.73992011,28.7,2.047987,10,0
82,2025-03-05T14:54:55.186070,8.790193648,28.72,2.057627,10,0
83,2025-03-05T14:54:59.458458,8.794891194,28.72,2.007849,10,0
84,2025-03-05T14:55:04.249535,8.880272466,28.72,2.063442,10,0
85,2025-03-05T14:55:08.156885,8.901292296,28.72,2.09852,10,0
86,2025-03-05T14:55:12.155911,8.881402782,28.71,2.08845,10,0
87,2025-03-05T14:55:16.270334,8.901544398,28.72,2.063514,10,0
88,2025-03-05T14:55:20.578593,8.981993193,28.72,2.061237,10,0
89,2025-03-05T14:55:25.029293,8.963473401,28.71,2.06364,10,0
90,2025-03-05T14:55:29.369581,9.008268907,28.72,2.074579,10,0
91,2025-03-05T14:55:33.760595,9.057972752,28.72,2.062568,10,0
92,2025-03-05T14:55:38.053646,9.105222429,28.72,2.021901,10,0
93,2025-03-05T14:55:42.445703,9.144286867,28.72,2.055229,10,0
94,2025-03-05T14:55:46.818918,9.195285605,28.72,2.095754,10,0
95,2025-03-05T14:55:51.178804,9.228608827,28.72,2.05438,10,0
96,2025-03-05T14:55:55.325167,9.259972856,28.71,2.090792,10,0
97,2025-03-05T14:55:59.791106,9.301956564,28.72,2.050457,10,0
98,2025-03-05T14:56:04.294647,9.353052307,28.71,2.060682,10,0
99,2025-03-05T14:56:08.395414,9.346840778,28.73,2.061317,10,0
100,2025-03-05T14:56:12.547219,9.421205069,28.71,2.073012,10,0
