round,timestamp,loss,accuracy,round_duration,num_clients,num_failures
1,2025-03-07T08:23:18.787044,2.664443345,13.02728966,5.557317403,6,0
2,2025-03-07T08:23:26.498547,1.336949192,48.16093386,5.730052845,6,0
3,2025-03-07T08:23:34.199156,1.127666428,60.04812166,5.563346645,6,0
4,2025-03-07T08:23:42.046523,1.028231118,62.5487124,5.569026761,6,0
5,2025-03-07T08:23:49.983751,0.932946548,71.46346876,5.825272932,6,0
6,2025-03-07T08:23:57.899071,0.95891562,69.33728407,5.434050624,6,0
7,2025-03-07T08:24:05.825758,0.829613375,71.37767244,5.924921559,6,0
8,2025-03-07T08:24:13.801684,0.828443629,81.47779202,5.900476703,6,0
9,2025-03-07T08:24:21.661206,0.941082973,77.8172384,5.799654168,6,0
10,2025-03-07T08:24:29.516503,0.919769904,75.87368451,5.761394385,6,0
11,2025-03-07T08:24:37.344254,0.926309138,74.73497458,5.936524072,6,0
12,2025-03-07T08:24:45.369185,0.992339655,77.85329548,5.536780419,6,0
13,2025-03-07T08:24:53.553397,1.160134586,72.32274508,5.480041176,6,0
14,2025-03-07T08:25:01.499880,1.138897769,73.54328003,5.576017141,6,0
15,2025-03-07T08:25:09.344097,1.141646019,72.37761283,5.89816944,6,0
16,2025-03-07T08:25:17.309236,1.003705149,80.65739546,5.466833216,6,0
17,2025-03-07T08:25:25.175096,1.040458993,84.18000447,5.785392346,6,0
18,2025-03-07T08:25:32.972117,1.148890974,79.03556257,6.026607439,6,0
19,2025-03-07T08:25:41.013473,1.049692469,84.10286325,5.950759546,6,0
20,2025-03-07T08:25:48.778048,1.185911495,79.78607817,5.762938632,6,0
21,2025-03-07T08:25:56.584754,1.124639983,80.27883096,5.50373044,6,0
22,2025-03-07T08:26:04.308277,1.125660773,78.21317564,5.949931929,6,0
23,2025-03-07T08:26:12.170710,1.166320059,83.70193117,5.820377947,6,0
24,2025-03-07T08:26:20.083814,1.210539206,76.57845648,5.545485446,6,0
25,2025-03-07T08:26:27.896695,1.169131494,84.05070785,5.537399991,6,0
26,2025-03-07T08:26:35.847765,1.271912067,80.32200367,6.01266354,6,0
27,2025-03-07T08:26:43.715257,1.106968741,80.80591267,5.87810591,6,0
28,2025-03-07T08:26:51.571107,0.995643456,86.42899037,5.9750229,6,0
29,2025-03-07T08:26:59.715891,1.11430678,83.03415891,6.008170725,6,0
30,2025-03-07T08:27:07.971767,1.152206722,83.26746833,5.834608244,6,0
31,2025-03-07T08:27:15.766238,1.154133604,82.05113701,5.807386853,6,0
32,2025-03-07T08:27:23.543709,1.216160679,78.95705514,5.761152508,6,0
33,2025-03-07T08:27:31.410033,1.268338851,77.35426153,5.699481202,6,0
34,2025-03-07T08:27:39.421387,1.120726955,82.40404043,5.772000253,6,0
35,2025-03-07T08:27:47.470433,1.13017175,85.97488414,5.973482696,6,0
36,2025-03-07T08:27:55.602728,1.096237009,77.16577708,5.877788842,6,0
37,2025-03-07T08:28:03.808187,1.188280215,80.20932572,6.051282879,6,0
38,2025-03-07T08:28:11.742220,1.202489932,83.19024097,5.793977403,6,0
39,2025-03-07T08:28:19.708775,1.171612972,82.14119823,5.893658326,6,0
40,2025-03-07T08:28:27.845631,1.244366648,78.53098712,5.912078471,6,0
41,2025-03-07T08:28:36.094050,1.15623453,83.64717481,5.893245334,6,0
42,2025-03-07T08:28:44.156159,1.169467743,84.51093504,5.962357343,6,0
43,2025-03-07T08:28:52.169129,1.151239244,79.70251072,5.694628137,6,0
44,2025-03-07T08:29:00.692717,1.169893952,78.38722377,5.85966005,6,0
45,2025-03-07T08:29:08.571120,1.129855023,85.25809886,5.624874326,6,0
46,2025-03-07T08:29:16.508721,1.266889513,80.38115164,5.79322223,6,0
47,2025-03-07T08:29:24.473463,1.237147997,81.09036686,5.857918064,6,0
48,2025-03-07T08:29:32.495234,1.019744556,81.35712631,5.958740354,6,0
49,2025-03-07T08:29:40.622352,1.16753423,79.24986225,6.138261921,6,0
50,2025-03-07T08:29:48.547517,1.230170051,83.60380033,5.937040265,6,0
51,2025-03-07T08:29:56.521463,1.257959629,80.17407831,6.025406106,6,0
52,2025-03-07T08:30:04.541907,1.168083305,81.6558133,5.890052067,6,0
53,2025-03-07T08:30:12.600374,1.237475106,78.34639797,5.969601463,6,0
54,2025-03-07T08:30:20.623332,1.165328408,82.52501264,5.641919527,6,0
55,2025-03-07T08:30:28.850555,1.252819891,78.12475875,5.75420427,6,0
56,2025-03-07T08:30:36.820835,1.061377224,81.67066025,5.821780609,6,0
57,2025-03-07T08:30:44.980458,1.288496312,84.03797271,5.891325999,6,0
58,2025-03-07T08:30:52.999558,1.22883758,78.66519267,5.643213981,6,0
59,2025-03-07T08:31:01.022140,1.149617701,82.81295239,5.703096681,6,0
60,2025-03-07T08:31:09.217852,1.237070527,81.12659436,5.788170337,6,0
61,2025-03-07T08:31:17.101497,1.319449691,80.69299467,6.203907141,6,0
62,2025-03-07T08:31:25.122182,1.199763476,78.3038183,5.828797097,6,0
63,2025-03-07T08:31:33.025631,1.095178471,86.08810354,5.922375208,6,0
64,2025-03-07T08:31:40.983824,1.258114849,79.67013149,5.756837651,6,0
65,2025-03-07T08:31:49.073892,1.194147335,78.59913539,6.007335299,6,0
66,2025-03-07T08:31:57.126631,1.276484465,76.51617275,5.815357132,6,0
67,2025-03-07T08:32:05.246301,1.187590572,78.61996665,5.775660584,6,0
68,2025-03-07T08:32:13.347901,1.194876318,80.19827068,5.964110169,6,0
69,2025-03-07T08:32:21.542696,1.133262258,80.43225647,5.663841228,6,0
70,2025-03-07T08:32:29.718045,1.402613305,78.75257122,5.669160763,6,0
71,2025-03-07T08:32:38.037173,1.218132691,81.99933828,5.799338907,6,0
72,2025-03-07T08:32:46.263752,1.251641866,79.03770097,5.69457862,6,0
73,2025-03-07T08:32:54.474246,1.253281513,82.60648882,5.741232117,6,0
74,2025-03-07T08:33:02.635246,1.23333807,81.34291103,5.883340521,6,0
75,2025-03-07T08:33:10.866417,1.164944208,78.8202262,6.165004831,6,0
