round,timestamp,loss,accuracy,round_duration,num_clients,num_failures
1,2025-03-07T08:03:06.883192,13.023331741333008,13.4,5.26619566,6,0
2,2025-03-07T08:03:09.973436,13.779789817810059,17.4,5.147187035,6,0
3,2025-03-07T08:03:13.102494,14.234936882019044,12.5,5.008339046,6,0
4,2025-03-07T08:03:16.123515,13.229352584838868,15.9,5.157901078,6,0
5,2025-03-07T08:03:19.177276,13.369629531860351,16.2,5.148802379,6,0
6,2025-03-07T08:03:22.273381,14.045750106811523,14.6,5.314705351,6,0
7,2025-03-07T08:03:25.496135,13.60316195678711,18.7,5.312211797,6,0
8,2025-03-07T08:03:28.645887,13.420354949951172,18.4,5.280664052,6,0
9,2025-03-07T08:03:31.805933,14.851964431762696,18.9,5.274667917,6,0
10,2025-03-07T08:03:34.925943,14.164899108886718,20.2,5.415941084,6,0
11,2025-03-07T08:03:38.099779,14.025050704956055,18.8,5.333032392,6,0
12,2025-03-07T08:03:41.198232,14.544784957885742,19.4,5.230131198,6,0
13,2025-03-07T08:03:44.321096,15.044453903198242,17.6,5.185162877,6,0
14,2025-03-07T08:03:47.398103,14.421397079467773,18.9,5.32769522,6,0
15,2025-03-07T08:03:50.491977,14.379335838317871,18.2,5.409802377,6,0
16,2025-03-07T08:03:53.627339,15.800499610900879,17.4,5.307800429,6,0
17,2025-03-07T08:03:56.735832,14.894360870361329,19.7,5.226239548,6,0
18,2025-03-07T08:03:59.975288,15.618599960327149,18.8,5.26762313,6,0
19,2025-03-07T08:04:03.078371,15.297035957336426,20,5.261080467,6,0
20,2025-03-07T08:04:06.234052,15.648081832885742,19,5.203451306,6,0
21,2025-03-07T08:04:09.364604,14.905779975891113,18.9,5.178913931,6,0
22,2025-03-07T08:04:12.751929,15.218855529785156,20.4,5.198458942,6,0
23,2025-03-07T08:04:15.881837,15.774044807434082,19.5,5.681286333,6,0
24,2025-03-07T08:04:19.166882,15.122917495727538,21.9,5.338375723,6,0
25,2025-03-07T08:04:22.327496,15.436731140136718,19.4,5.267721945,6,0
26,2025-03-07T08:04:25.470369,15.719119659423828,19.4,5.318054995,6,0
27,2025-03-07T08:04:28.686109,14.513286247253419,20.9,5.338618475,6,0
28,2025-03-07T08:04:32.028790,15.791899932861329,20.5,5.334698373,6,0
29,2025-03-07T08:04:35.365495,15.351769134521485,21.2,5.303639078,6,0
30,2025-03-07T08:04:38.655881,16.70165818786621,18,5.168414709,6,0
31,2025-03-07T08:04:42.250259,15.34619090270996,19.9,5.342076513,6,0
